model,scope,rank,threshold,report_images,coverage,full_accuracy,full_precision,full_recall,full_f1,full_micro_accuracy,full_theilU,tail_accuracy,tail_precision,tail_recall,tail_f1,tail_classes,tail_truth_images,tail_accepted_predictions
onnx:rotation30_pad15_3,optimized,family,0.9773475527763367,52788,0.8160566795483822,0.9891968996008379,0.8090777567603441,0.7291856145583755,0.6682212708489148,0.9988161010260458,0.904985777478236,0.9874911469062333,0.9918473385541731,0.7916052581091266,0.8772909956369972,19,52770,43066
onnx:rotation30_pad15_3,coverage_70,species,0.9332101345062256,52788,0.6999886337804047,0.8993042897125594,0.8457863797403911,0.580673410297893,0.5804525856869176,0.8519661172904658,0.9506293360700655,0.9778664722783771,0.9755371093676788,0.7220718478185935,0.8088370437219299,270,42705,31014
onnx:rotation30_pad15_3,coverage_70,genus,0.9805076718330384,52788,0.6999886337804047,0.9765118678772962,0.9212369149917536,0.6322483811758616,0.6760309577391611,0.9276609564017212,0.9530907894039403,0.9868259053778615,0.9870146798561634,0.7130376570404691,0.810235529476725,210,46789,33976
onnx:rotation30_pad15_3,coverage_70,family,0.9972158670425416,52788,0.6999886337804047,0.9940916257004148,0.9104815309041331,0.6457444404845172,0.6942029367124118,0.9994858055262374,0.904985777478236,0.9931587244952169,0.9921871969315368,0.6946461040683022,0.8116705307619455,19,52770,36945
onnx:rotation30_pad15_3,coverage_80,species,0.7865936160087585,52788,0.7999924225202698,0.8690130364323082,0.724230514194755,0.6526380166096016,0.5635018832857759,0.8319441155576605,0.9506293360700655,0.9638203303886238,0.9635345560148336,0.7944708639020808,0.8571265688892376,282,43436,35170
onnx:rotation30_pad15_3,coverage_80,genus,0.8993590474128723,52788,0.7999924225202698,0.9690858326600882,0.8392258546323281,0.7280490051317001,0.693231705845092,0.9128344778593417,0.9530907894039403,0.9787994209137294,0.9793948511514551,0.7879687686243412,0.8606111788082011,220,47497,38463
onnx:rotation30_pad15_3,coverage_80,family,0.98397696018219,52788,0.7999924225202698,0.9893179755256315,0.8092930222080731,0.7157724451265104,0.6613159259846374,0.9990054463651432,0.904985777478236,0.9876313400823101,0.9921532420851567,0.775368263533711,0.8671146979422726,19,52770,42219
onnx:rotation30_pad15_3,coverage_90,species,0.4986054003238678,52788,0.8999962112601348,0.824975364170027,0.5675215824090611,0.7147823674053605,0.4885422007895161,0.8008377360079143,0.9506293360700655,0.9328288030848192,0.9394816322721306,0.8424987667797293,0.8753591320112727,295,44256,38821
onnx:rotation30_pad15_3,coverage_90,genus,0.5710593461990356,52788,0.8999962112601348,0.9323193587651343,0.6453036088704217,0.8029731865161972,0.5914080450287946,0.8852217474583763,0.9530907894039403,0.9539171260637532,0.9492454452386484,0.8503788888394346,0.8857468904117138,231,48032,42566
onnx:rotation30_pad15_3,coverage_90,family,0.8259501457214355,52788,0.8999962112601348,0.9662856355824953,0.6620438236169384,0.8162293842273993,0.6182197789183784,0.9956218821696942,0.904985777478236,0.9806991569902577,0.9658983696004576,0.8625610764534104,0.9082482703112855,19,52770,47456
onnx:rotation30_pad25_3,zero,species,0.0,52788,1.0,0.7493378530417095,0.335607011455683,0.7493378530417095,0.31973098589694526,0.7507577479730242,0.9512268480417431,0.8698036966650652,0.883195544629941,0.8698036966650652,0.8612589983083873,308,44643,41703
onnx:rotation30_pad25_3,zero,genus,0.0,52788,1.0,0.8472504239634208,0.38755157575495597,0.8472504239634208,0.38771743876773856,0.8323861483670532,0.9536588165415049,0.8812178342202511,0.864319570078447,0.8812178342202511,0.8548890385082205,242,52567,45971
onnx:rotation30_pad25_3,zero,family,0.0,52788,1.0,0.8636665098420966,0.34712795694828363,0.8636665098420966,0.35905067781483396,0.9622830946427219,0.9062460655947492,0.8932164863184111,0.8275326880655373,0.8932164863184111,0.850198428985235,20,52783,52403
onnx:rotation30_pad25_3,optimized,species,0.7529366910457611,52788,0.8132530120481928,0.8635268756201978,0.7198655161183526,0.6615516920144863,0.5675578092246022,0.8296529233636152,0.9512268480417431,0.963573617550616,0.9613612115206147,0.8049544911995276,0.8626739450453852,272,42778,35245
onnx:rotation30_pad25_3,optimized,genus,0.7956856787204742,52788,0.843070394786694,0.9578599395148406,0.7876914346408369,0.7626601078847843,0.6759673575495095,0.9032895919467913,0.9536588165415049,0.975627801896181,0.9744124082410346,0.8284542660506211,0.8857427309465413,215,46868,39824
onnx:rotation30_pad25_3,optimized,family,0.9765951335430146,52788,0.8212661968629233,0.9892268920132548,0.8402600553286454,0.7551948103314396,0.7076764729156302,0.9988236108227805,0.9062460655947492,0.987525874962716,0.9919348125549885,0.796774284571257,0.8806455141432638,19,52770,43342
onnx:rotation30_pad25_3,coverage_70,species,0.9330078959465028,52788,0.6999886337804047,0.8958818981982676,0.8488301817076527,0.5755733928870285,0.5777980098982209,0.8522096830938269,0.9512268480417431,0.9772824895065618,0.9759576331858164,0.7244536661424917,0.8101974819931572,270,42705,31139
